Date,High,Low,Open,Close,Volume,Adj Close
2022-07-12,68300,66800,68300,67200,94210,67200
2022-07-13,69400,67100,67500,69000,123497,69000
2022-07-14,70100,67900,68300,68300,192299,68300
2022-07-15,69400,67700,69200,68400,134965,68400
2022-07-18,69900,68100,68800,68700,125263,68700
2022-07-19,71200,68300,68700,70400,145108,70400
2022-07-20,71900,69800,71000,70200,133835,70200
2022-07-21,71800,69300,69800,70900,162824,70900
2022-07-22,71700,69700,70400,69900,119040,69900
2022-07-25,72200,69600,69900,71800,129668,71800
2022-07-26,71800,70400,71800,71200,95713,71200
2022-07-27,71500,70500,71000,70700,86737,70700
2022-07-28,73100,69300,71700,69600,265730,69600
2022-07-29,74100,70300,70300,72100,422354,72100
2022-08-01,71200,69700,71000,69900,284601,69900
2022-08-02,69400,66800,69400,67200,366282,67200
2022-08-03,69500,67200,67200,68600,301202,68600
2022-08-04,71900,69100,69100,71600,364580,71600
2022-08-05,73300,70900,71700,71900,207209,71900
2022-08-08,72200,70500,71000,71500,235687,71500
2022-08-09,73600,71100,71100,73500,214080,73500
2022-08-10,73700,70400,73500,70500,216251,70500
2022-08-11,72900,71100,71400,72500,264048,72500
2022-08-12,70500,66700,70000,68600,783955,68600
2022-08-16,69100,68200,69000,68500,168182,68500
2022-08-17,69200,67900,68500,68000,142251,68000
2022-08-18,67900,66200,67400,67300,218355,67300
2022-08-19,67800,66400,67200,66800,95977,66800
2022-08-22,66300,65000,66200,65500,183158,65500
2022-08-23,64800,63200,64300,63200,237004,63200
2022-08-24,64100,62800,63200,63700,139093,63700
2022-08-25,64800,63700,63700,64100,116338,64100
2022-08-26,64800,63100,64200,63400,138129,63400
2022-08-29,62100,60600,61100,61800,168001,61800
2022-08-30,63700,61700,61800,63400,143175,63400
2022-08-31,64300,62100,62900,63500,145886,63500
2022-09-01,63000,60900,62500,60900,212586,60900
2022-09-02,61500,59500,61100,60000,222487,60000
2022-09-05,61700,59600,59700,61000,158352,61000
2022-09-06,61000,59700,60400,60000,124944,60000
2022-09-07,59700,57500,59700,58800,236685,58800
2022-09-08,62600,59100,59100,61500,396064,61500
2022-09-13,63400,61700,62100,62500,213066,62500
2022-09-14,62500,60200,60500,61700,164268,61700
2022-09-15,61900,60300,61900,61000,170402,61000
2022-09-16,61900,59800,60200,60700,147971,60700
2022-09-19,61200,58800,60700,59000,89668,59000
2022-09-20,60900,59300,60600,59700,128351,59700
2022-09-21,59000,57800,58600,58400,154349,58400
2022-09-22,57800,55700,57600,56200,198799,56200
2022-09-23,56300,54400,56200,55200,153316,55200
2022-09-26,55500,53800,53800,54500,255684,54500
2022-09-27,55800,53700,54800,54600,182395,54600
2022-09-28,54800,52100,53900,53100,233422,53100
2022-09-29,55600,53200,53700,53500,178220,53500
2022-09-30,54200,51000,53500,51300,243009,51300
2022-10-04,54300,51300,51700,53600,198899,53600
2022-10-05,54300,50500,53900,50800,231467,50800
2022-10-06,52000,50900,50900,50900,110550,50900
2022-10-07,51400,48500,50400,50200,188578,50200
2022-10-11,50200,47800,48950,48700,191527,48700
2022-10-12,48500,42950,48050,44350,529251,44350
2022-10-13,44250,42400,43600,43300,389820,43300
2022-10-14,45950,43850,44000,45500,247154,45500
2022-10-17,44500,43300,44250,44300,187612,44300
2022-10-18,47200,45200,45300,46850,232754,46850
2022-10-19,48100,45800,46550,45950,182474,45950
2022-10-20,45600,43850,45100,44600,240308,44600
2022-10-21,45350,43950,44100,45100,128378,45100
2022-10-24,46300,44750,46050,45100,123582,45100
2022-10-25,45200,44350,45150,44750,131127,44750
2022-10-26,44400,41900,44400,41950,425558,41950
2022-10-27,44650,42050,42050,44450,230414,44450
2022-10-28,44500,43600,44450,43800,174823,43800
2022-10-31,45700,43800,44300,44600,156925,44600
2022-11-01,46300,44600,44750,45450,154413,45450
2022-11-02,47800,44800,44850,47550,179543,47550
